X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8479936.14788198,5319649.43663423,2024/02/15 05:00:00+00,554,554,600 RICHMOND AV ,,All Other,LARCENY,43.05042,-76.1765625,142
-8478253.49811889,5316563.78604797,2024/02/22 05:00:00+00,1832,1832,100 CHENEY ST     ,,,AGGRAVATED ASSAULT,43.0301610000001,-76.161447,143
-8475009.78953293,5316023.33667224,2024/02/12 05:00:00+00,0,1030,200 ROBERT DR     ,,Motor Vehicle,MV THEFT,43.0266119630001,-76.13230827,144
,,2024/02/04 05:00:00+00,850,1650,0 WALSH CIR  ,,From Motor Vehicle,LARCENY,,,145
-8476496.21631827,5315956.22865394,2024/01/15 05:00:00+00,1500,1645,100 WOOD AV   ,,Motor Vehicle,MV THEFT,43.026171262,-76.145661069,146
-8474959.83268504,5319083.22361694,2024/01/02 05:00:00+00,1729,1729,1200 W  GENESEE ST     ,,From Building,LARCENY,43.046703,-76.1318595,147
-8473490.58238581,5320773.73852276,2024/01/29 05:00:00+00,841,841,600 ROBINSON ST     ,Yes,All Other,LARCENY,43.0578,-76.118661,148
-8476566.84085413,5322408.33091132,2024/01/30 05:00:00+00,800,1210,100 CLEVELAND AV ,,All Other,LARCENY,43.0685280000001,-76.1462955,149
-8476794.35685393,5319967.17317962,2024/02/09 05:00:00+00,1033,1033,200 N STATE ST     ,Yes,,AGGRAVATED ASSAULT,43.0525057360001,-76.148339311,150
-8479620.05618786,5322321.931704,2024/01/12 05:00:00+00,2055,2055,1 DESTINY USA DR,Yes,Motor Vehicle,MV THEFT,43.067961,-76.1737229999999,151
-8476496.21631827,5315956.22865394,2024/01/01 05:00:00+00,1934,1934,100 WOOD AV   ,Yes,,AGGRAVATED ASSAULT,43.026171262,-76.145661069,152
-8476211.17508105,5322419.30229642,2024/01/27 05:00:00+00,1736,1736,1300 BUTTERNUT ST     ,Yes,,AGGRAVATED ASSAULT,43.0686000000001,-76.1431004999999,153
-8473538.17146812,5320321.25929894,2024/02/07 05:00:00+00,258,258,1400 BURNET AV   ,,From Building,BURGLARY,43.05483,-76.1190885,154
-8479761.32062168,5317161.37138161,2024/01/21 05:00:00+00,1445,1510,1300 W ONONDAGA ST     ,Yes,,AGGRAVATED ASSAULT,43.0340850000001,-76.174992,155
-8474712.36945701,5319092.8201619,2024/02/01 05:00:00+00,1246,1246,1400 W GENESEE ST ,Yes,,AGGRAVATED ASSAULT,43.046766,-76.1296364999999,156
-8477014.6791656,5324464.31927526,2024/01/07 05:00:00+00,1200,940,1500 LEMOYNE AV ,,From Motor Vehicle,LARCENY,43.0820190000001,-76.1503185,157
-8480150.54922124,5317142.18226797,2024/01/25 05:00:00+00,1431,1431,1500 W ONONDAGA ST     ,,All Other,LARCENY,43.033959,-76.1784885,158
-8469703.99424673,5318791.21917573,2024/02/18 05:00:00+00,0,1414,1600 SALT SPRINGS RD     ,,All Other,BURGLARY,43.044786,-76.0846455,159
-8480657.49818231,5317155.88877369,2024/01/03 05:00:00+00,16,1013,1700 W ONONDAGA ST     ,,Motor Vehicle,MV THEFT,43.034049,-76.1830424999999,160
-8480678.03662837,5319990.82619624,2024/01/11 05:00:00+00,1609,1609,1800 E FAYETTE ST   ,Yes,,AGGRAVATED ASSAULT,43.0526610000001,-76.183227,161
-8480678.03662837,5319990.82619624,2024/01/13 05:00:00+00,1510,1510,1800 W FAYETTE ST     ,Yes,Shoplifting,LARCENY,43.0526610000001,-76.183227,162
-8473750.56916788,5318898.1493206,2024/01/09 05:00:00+00,1410,1410,1900 E GENESEE ST     ,,All Other,LARCENY,43.045488,-76.120996501,163
-8481860.7505583,5319650.80765171,2024/02/04 05:00:00+00,2025,2125,1900 W  GENESEE ST   ,,From Motor Vehicle,LARCENY,43.0504290000001,-76.1938514999999,164
-8474845.11794978,5318847.4258942,2024/01/17 05:00:00+00,2359,435,200 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.0451550000001,-76.1308289999999,165
-8474845.11794978,5318847.4258942,2024/01/19 05:00:00+00,1150,1150,200 COMSTOCK AVE    ,,All Other,LARCENY,43.0451550000001,-76.1308289999999,166
-8477841.22638474,5312177.63739562,2024/01/18 05:00:00+00,1900,700,200 CRESTVIEW DR     ,,From Motor Vehicle,MV THEFT,43.0013520000001,-76.1577435,167
